premise,hypothesis,gold_label,pred_label
"He views either of them as the instrument, the bond, of his not being able to pass on the crown to a successor of his choosing (or of his subsequent begetting).",Actually passing on the crown is quite simple and easy.,neutral,neutral
"Plus, I really wasn't making the kind of connections that I wanted to make.",The connections were great.,contradiction,contradiction
How many of these dresses will sell this season?,How many pairs of boots are going to sell this season?,contradiction,contradiction
I have nobody here to guide me.,"I've found it refereshing that there's no one here to offer their guidance, because it's meant I've finally had space to find my own way. ",neutral,neutral
"My favorite story, um, oh, Cinderella.",I hated the Cinderella story.,contradiction,contradiction
Five calls described the intent of passengers and surviving crew members to revolt against the hijackers.,The calls were made to loved ones and authorities.,neutral,neutral
"Oh yes, yes they did.",Indeed they did.,entailment,neutral
"I'll ask you first Mom, and then Dad.","Mom, I'll ask you, then Dad.",entailment,entailment
But the implication that OLWs are new'just because they now appear routinely in comic strips and on television'is misguided.,The implication of OLWs is misguided despite the fact that they frequently appear in comic strips.,entailment,entailment
"Perhaps the Proximity people thought that they had got round that little problem by giving the same definition for each of the items in the list; but we know that only very rarely are two synonyms bi-unique (which is another way of saying that if A = B, B does not necessarily always equal A), an ineluctable fact of language.",X and Y are always the exact same thing.,contradiction,neutral
They can change the tone of people's voice yes.,They are able to alter the tone of voice.,entailment,entailment
"Indeed, if you watch preschoolers at play, you will see that they rarely violate the rules of their social world.",About 10 percent of preschoolers appear to violate social rules when playing.,neutral,neutral
On the monkey bars I used to swing up and get on top of it.,I used to get up on the monkey bars with friends.,neutral,neutral
Don't they do that a lot with like Britney Spears and people like that?,Is that done a lot with people like Britney Spears?,entailment,entailment
"Finally, turning to her toilet, she rested her face in her hands, and gave a sort of groan. ","Finally, she slapped her face with her hands and started talking gibberish.",contradiction,neutral
It is regrettable that Lederer uses the word  corruption  (p.,Lederer is a very good writer and receives much praise from critics.,neutral,neutral
"The Herndon Command Center immediately established a teleconference between Boston, New York, and Cleveland Centers so that Boston Center could help the others understand what was happening.",The Herndon Command Center established a teleconference between the centers so Boston could tell the others what was going on.,entailment,entailment
That message and all subsequent attempts to contact the flight were not acknowledged.,"Dozens of attempts were made to contact the flight, but none got a response.",neutral,neutral
"Countering Locke's image of an all-powerful adult tutor, eighteenth-century French philosopher Jean Jacques Rousseau conceived of the child as a  noble savage 'untamed but naturally good, with an innate plan for orderly, healthy growth.",Locke and Rousseau's theories on child rearing are similar.,contradiction,neutral
"Bin Ladin said in his ABC interview that he and his followers had been preparing in Somalia for another long struggle, like that against the Soviets in Afghanistan, but the United States rushed out of Somalia in shame and disgrace.",Bin Ladin was interviewed by ABC about the Somalia conflict.,entailment,entailment
"So when I graduate, more than likely I'll move to Boston, but Charlotte has definitely been a nice place to live.",I have found it nice to live in Charlotte. ,entailment,entailment
"Not really, that's all.",We do not have anything else.,entailment,neutral
NEADS reported to the Continental U.S.,France is the base of NEADS.,contradiction,neutral
"That's the way, way it was, they're big, plenty, if I were to tell you all the stories of what we went through, I tell you, that I'd keep you all night . That's how it was, it was said, but thank God in the family hardly-- The guerrillas also took out a man from the outskirts near the, the place where we lived, who was called Juan.",There are pleanty of stories that we had all went through.,entailment,entailment
"With over 18 years experience, we have found that many conflicts between young people are rooted in attitudes and prejudices that exclude and target individuals and groups.",We have over 18 years experience working with young people.,entailment,entailment
"Therefore, this age group continues to need more adult supervision and positive programs during after school hours.",They were at an age where they no longer needed adult supervision.,contradiction,contradiction
"A Big Sister is a mentor, a friend and a role model, helping a young girl to develop the self-confidence and life skills necessary to become a responsible, productive and successful adult.",Some of the young girls that had mentors will someday return as adults to become a Big Sister.,neutral,neutral
"At the suggestion of the Boston Center's military liaison, NEADS contacted the FAA's Washington Center to ask about American 11.",NEADS asked about American 11 as soon as the military liaison suggested it.,entailment,neutral
Thank you again for helping point the way.,Thanks a second time for helping point the way.,entailment,entailment
"In this case, public outrage led to early workers' compensation and factory inspection legislation.",Public outrage and protesting lasted for two weeks before legislative actions were made.,neutral,neutral
"Oh well that was Rosemary, her mother was gone.",Rosemary's mother is with her.,contradiction,contradiction
Recently I found in one of those files in which for many years I have been systematically losing things a magazine clipping from many years ago which points out that the formal language of a century and more past can lead to misunderstandings today.,Formal language of a century and more past doesn't appear to lead to any misunderstandings surprisingly. ,contradiction,contradiction
"The manufacturer can then transport the cut parts for assembly to sewing rooms, which may be either local or out of the country.",The producer would then be able to deliver the parts for assembly to sewing rooms both in and out of the country.,entailment,entailment
" It took me really a long time to sort what was going on in my mind out,  she said.",She now knows what was going on in her mind.,entailment,neutral
"As a member of the Law Alumni Board (Board of Visitors) you are quite well acquainted with the programs, progress and problems of the law school.",The law alumni board has the uppermost authority in the school. ,neutral,neutral
They were armed and under NORAD's control.,They were eager to find and engage with their target.,neutral,neutral
"Bear in mind, however, that the information-integrated channel requires substantial investment in technologies by retailers.",Retailers might want to invest in other things too.,neutral,neutral
"IUPUI's goals for the 1990s, in the context of Indiana University's statewide plans, call for improving undergraduate education, enhancing relationships with the community , and strengthening research that will stimulate Indiana's economic growth.",The economic growth of Indiana was very poor in the 1990's.,neutral,neutral
Attaining a Subtle Grasp of Mental Life.,And it's effects on the way we live as humans.,neutral,neutral
"You can go out on the weekends but during the week it, you know, it should be study time.","Don't go out during the week: it's best to keep the weekdays for studying, and let your hair down at the weekend. ",entailment,contradiction
"The so-called diskette is a flat black square of rather tough plastic with a hole in the middle and an oblong slot on each of the flat sides; it is said to be 5 inches square, but that is a  as the only person who probably ever measured one of these things, I can tell you it is 5 3/16 inches square; that may seem irrelevant, but it is only the beginning of the Great Deception.","Diskettes are not used any more,.",neutral,neutral
"Cameron can find his way out of a crowded reception faster than a waiter with an empty hord d'oeuvre tray, and can locate Miyares' van is a crowded parking lot with a simple command. ",Cameron has the ability to quickly maneuver a crowded reception.,entailment,entailment
"Please send any survival tips for third and fourth year dental students to me, in care of IUSD!",Survival tips are very important for fourth year dental students in particular. ,neutral,neutral
Many Little Sisters are preparing to go back to school this fall full of hope and with a positive outlook.,The Little Sisters have a positive outlook for the first time.,neutral,neutral
"In Sudan, he established an Islamic Army Shura that was to serve as the coordinating body for the consortium of terrorist groups with which he was forging alliances.",He was a native of Sudan.,neutral,neutral
58 provides the cost for one boy or girl to participate in scouting activities for a year.,A donation of 58 dollars provides scouting activities for one boy or girl.,entailment,neutral
"Let's see, recent authors You've probably never heard of any of these, but Gregory Benford is very good, these are science fiction, uh, see David Grant, science fiction that is real good.",David Grant writes really good science fiction.,entailment,entailment
"If you're not from Charlotte, you're not going to know where that's at, but, um, it was really far away from everybody and behind the airport and stuff like that.",You are certainly from the area known as Charlotte.,contradiction,contradiction
The line to the White House shelter conference room-and the Vice President- kept cutting off.,The line to the White House shelter conference room kept dropping calls so the Vice President was impossible to reach.,neutral,neutral
Do you read yet?,Can you read yet?,entailment,entailment
One of the passengers who mentioned a bomb expressed his belief that it was not real.,This person witnessed someone with a fake bomb.,neutral,neutral
"Shortly thereafter, the passengers and flight crew began a series of calls from GTE airphones and cellular phones.",The passengers and flight crew made phone calls.,entailment,entailment
"Thanks to our Big Sisters volunteers, these young people are self-confident, believe in themselves and are beginning to realize their full potential.",Many mentored young people don't realize their full potential.,contradiction,neutral
Then detach the lower portion and return to us as soon as possible in the postage-paid envelope.,"If you delay sending us the pre-paid envelope, we cannot accept it.",neutral,neutral
What how often.,How frequently did you do it.,entailment,neutral
And we don't waste money.,"We never waste any money, all monies collected are dispersed in a responsible manner.",neutral,neutral
"Indiana residents (4,400 of our 5,980 alumni) may also take advantage of the Indiana Tax Credit (Form CC-40).",The tax credit is expected to be around a $400 rebate per year.,neutral,neutral
Bin Ladin had an important part in this activity.,"Bin Laden while in Saudi Arabia, played a major role in the events that transpired.",neutral,neutral
 Do you think that's what she wants? ,You and I are questioning whether it is what she wants or not.,entailment,neutral
"Gifts to United Way helped provide shelter, medical care, counseling and job placement to end his homelessness.","He was homeless until the United Way helped to provide shelter, medical care, counseling and job placement, gifts made this possible.",entailment,entailment
They knew American 77 was lost.,They did not know what had happened to American 77.,contradiction,contradiction
All understood the plane had been hijacked.,Everybody knew about the hijacking.,entailment,entailment
"For example, sketches or photos can be draped with material of different colors and patterns.",Different patterned material can be draped around photos.,entailment,entailment
So in some ways it was very similar to the space exploration that you were so interested in?,So it was much like the subjects you enjoyed?,entailment,entailment
Some were in business and some were talking about starting a business.,They all had various needs but the same goals with their businesses.,neutral,neutral
"And, as a Palestinian, he saw Israel as the top priority for the next stage.",He wanted a two-state solution to the Israel-Palestine conflict. ,neutral,neutral
Is he your favorite superhero?,Is Iron Man your favorite superhero?,neutral,neutral
"Of the two, the W geographical listings seem more  W lists Aylesbury , which, through some grievous, egregious fault, is not in the geographical section of the L but does appear in the A-Z section (because of the ducks).",I really don't know. this was a confusing line.,contradiction,neutral
It is shameful that the Gage Canadian allows only  plaid. ,Gage Canadian shouldn't allow only plaid.,entailment,neutral
"You can't take it with you--neither can I, unfortunately.",You are not able to bring it with you. ,entailment,entailment
"Letters in support or condemnation of the QES program (though one may assume they will insist on programme ) should be addressed to Mrs Anne Shelley, Secretary, Queen's English Society, 3 Manor Crescent, Guildford GU2 6NF, England.",The letters about the QES program should be sent to Mrs. Anne Shelley.,entailment,entailment
"Between 9:01 and 9:02, a manager from New York Center told the Command Center in ",In just a minute the manager from the New York Center managed to summarize the catastrophe.,neutral,neutral
There is no intelligent life on this planet. ,There isn't any intelligent life on this planet.,entailment,entailment
"'  However, similar expressions in French, Spanish, and Judezmo, all mentioning numbers, give pause (they are listed in Jewish Language Review 7, 1987, p.","French, Spanish and Judezmo expressions mentioning numbers give pause because you make funny faces when said.",neutral,neutral
"Gifts also support student organizations such as moot court, supply library materials, pay for student research assistants, and make available other necessary resources.","Gifts allow necessary resources, like supplying library materials, moot court, and student research assistants.",entailment,entailment
This was the word that first caught my eye as the obverse of onomatopoeia.,My attention was caught by a certain word. ,entailment,entailment
What kind of stories does she tell you?,What different types of tales does she give to you?,entailment,entailment
"Miyares' repeated trips to sick call basically boiled down to, get your act together and get back in the field, or we'll make you a private again sergeant.",The complete lack of sick visits on Miyares' record meant that he was due a promotion.,contradiction,contradiction
"But for 8 minutes and 13 seconds, between 8:56 and 9:05, this primary radar information on American 77 was not displayed to controllers at Indianapolis Center.",American 77 had its transponder altered so there was no data on the primary radar.  ,neutral,neutral
"Best of all, probably, was the unintentional but unavoidable hilarity roused by Hattie McDaniels, Butterfly McQueen, and Vivien Leigh as they jabbered and squeaked in Japanese about Ashley Wilkes, Mista Rhett, and the fall of Atlanta.",The hilarity that ensued as the Japanese women spoke was completely on purpose.,contradiction,neutral
"The Command Center's national operations manager, Ben Sliney, ordered all FAA facilities to instruct all aircraft to land at the nearest airport.",Ben Slimy forced all planes to continue to their destination and not leave the landing space.l,contradiction,neutral
" He wants a lollipop, too! ",The last thing he wants is a lollipop.,contradiction,contradiction
"Inside the National Military Command Center, the deputy director of operations and his assistant began notifying senior Pentagon officials of the incident.",Senior Pentagon officials were shocked when they heard about the incident.,neutral,neutral
"But it wasn't like Daddy's Little Wannabe Tomboy, thing anymore, you know.","I outgrew my tomboy phase, and was more feminine now.",neutral,neutral
The Vice President was wondering how the hell could a plane hit the World Trade Center when he saw the second aircraft strike the South Tower.,The second plane hitting the South Tower answered the Vice President's question.,neutral,neutral
"I went on through, unlocked the window and left.",The window was large and easy to move through. ,neutral,neutral
The first President Bush had authorized the use of U.S. military forces to ensure humanitarian relief in war-torn Somalia.,Bush authorized the military to help in Somalia for humanitarian reasons.,entailment,entailment
" Afterwards, the Bishop walked among the crowds, eating their picnic lunches. ",The Bishop likes walking among crowds while they eat.,neutral,neutral
"Finally, I would remind Mr. Henn that the point of the Vietnam war has nothing to do with whether we called the country 'Nam or Vietnam .  It is that today Russian military personnel operate their ships and planes out of our former base complex at Cam Ranh Bay while the political language Ho Chi Minh imported from Moscow is now current through all of Indo-China .","At last, I would mention again to Mr. Henn the goal of the war is irrelevant to what we call the country.",entailment,entailment
Consider a series of studies that examined length of maternity leave in relation to employed mothers' psychological well-being and parenting behaviors.,These studies examined length of maternity leave relative to loss of job.,contradiction,neutral
The knife and motor are supported above the base plate by a frame.,The knife and motor are supported over the top plate.,contradiction,entailment
"In high school I was, you know, 3.0's, you knows A's and B's an occasional C. Now here I'm lucky if I get a C on something.","Now I can easily get A's and B's, while before I was lucky to get a C.",contradiction,entailment
"If any of us at the dental school can be of assistance, please write or call.",The dental school is offering assistance.,entailment,entailment
"The sociocultural vision is very dierent from behaviorism, which views development as directly imposed, or shaped, by external forces.",They almost completely contradict one another.,neutral,neutral
"That means we now have the opportunity to be a stable, positive and important part of each child's life for an entire decade.",Providing stability and positivity for each child has been made possible from continued support.,neutral,neutral
With rue and the beautiful Puritan pansies.,The pansies are all dead.,contradiction,neutral
"It's summertime, so it must be time for CAMP!","Summertime is the worst time for camp, don't you agree?",contradiction,contradiction
Your contribution will help with funding so Jameson Camp can continue providing the year-round camping experience that gives kids a chance to create dreams.,The Jameson Camp needs external funding to survive,neutral,neutral
These people are living proof that your investment pays off.,The people are proof that the investment is worth it because their outcomes are greatly improved.,entailment,neutral
I look forward to seeing your name on our membership list.,I hope you won't join our organization.,contradiction,neutral
"A Big Sister is a mentor, a friend and a role model, helping a young girl to develop the self-confidence and life skills necessary to become a responsible, productive and successful adult.",Big Sisters are mentors for young females that need help to grow to their full potential as adults someday.,entailment,neutral
"And it was an important aspect, was there a particular crowd that hung out because of that?",Did a crowd hang around that because of it?,entailment,entailment
"In a recent provocative study, sociologist Arlie Hochschild spent months getting to know employees at a large Midwestern corporation she called Americo.",Sociologist Arlie Hochschild spent seven months getting to know employees of Americo during a recent exciting study.,neutral,neutral
But I'm never going to take the knives out.,I have plans to take out the knives as soon as possible.,contradiction,contradiction
"There's, my dad reminds me from time to time.",I don't have a father.,contradiction,neutral
.. Defication of humankind as supreme. ,Human beings are blameless. ,contradiction,entailment
"SEND advances these efforts by forming long-standing relationships with local businesses, churches, residents, and other interested groups and individuals.",These relationships are formed with donations.,neutral,neutral
"The first topic addressed in the White House video teleconference-at about 9:40-was the physical security of the President, the White House, and federal agencies.",There was a video teleconference after 9 o'clock.,entailment,neutral
This year IUPUI is celebrating 25 years in partnership.,The IUPUI has been around for more than a century.,contradiction,neutral
What kind of stories?,What type of stories?,entailment,entailment
"Helen W. Power, in  Women on Language; Women in Language [XV",Helen W. Power knows absolutely nothing about language. ,contradiction,neutral
"Our state appropriation is not now -nor has it ever been --sufficient to fund, for example, all of the costs associated with faculty research, student programs, scholarships, seminars, guest speakers, and the law library.",All of our faculty and school related costs and needs are met by our state appropriation.,contradiction,contradiction
She would save everything.,She kept soup labels. ,neutral,neutral
I guess one of the other authors I like a lot uh is C.S.,I like the author C.S. Lewis.,neutral,entailment
"Price reductions from the beginning to the end of the season also increased dramatically over the period from 1948 to 1988, one in which there was considerable growth in product proliferation.","From 1948 to 1988, price reductions over the course of the season decreased.",contradiction,contradiction
Is it like a gun?,Is it a gun?,-,entailment
Each suit is ideally made from pattern pieces cut from the same ply of cloth and the same region of material.,Each suit should be made from one piece.,entailment,contradiction
Every Japan veteran has his list of favorite mistakes.,No vet cares a wit about this.,contradiction,contradiction
"Today, Bodenheim's novel might be of interest to students of the English language because of its use of slang.",Bodenheim's novel makes an interesting use of slang.,entailment,entailment
"In Cecilia's case she had to face the situation with a limited education, no skills and no source of income.","In Cecilia's case, she had little education but wanted to learn.",neutral,neutral
"Britain and North America are not only literate, but  dictionarate. ",Britain and North America are illiterate and don't know how to use a dictionary.,contradiction,contradiction
The optimal policy is one for which marginal increases or decreases in chosen inventory levels will not confer additional profits.,The best policy should be sensitive to changes in select inventory levels.,neutral,neutral
A valuable seven-week course called COPES [Community Orientation for Expatriate Spouses] introduces the non-employed spouse to day-to-day life and opportunities in central Indiana.,COPES is a seven week course that informs the non-employed spouses to various opportunities.,entailment,entailment
Bin Ladin's grievance with the United States may have started in reaction to specific U.S. policies but it quickly became far deeper.,Bin Ladin had grievances with the United States starting with U.S. foreign policy.,neutral,neutral
"Here, the object of play is the written form of the answer, or, more precisely, the letters of which that form consists.",In this situation the object is in the written form. ,entailment,entailment
Textile mills at their outset often provided the principal employment in the locality.,Textile mills provided most of the employment in the locality.,entailment,entailment
" He wants a lollipop, too! ","He too, would like to receive a lollipop.",entailment,entailment
Uh she had a big garage that was separate from the house and almost bigger than the house it was almost like it was a barn.,That shed was absolutely dwarfed by the house.,contradiction,contradiction
About this time the Fasten Seatbelt sign would usually have been turned off and the flight attendants would have begun preparing for cabin service.,The Fasten Sealtbelt sign would have been turned on around this time as the flight attendants begun preparing for cabin service.,contradiction,contradiction
Contributing members of the winning class will receive an added bonus of a tuition-waived registration to a non-restricted C.E.,Contributing members of the winning class will get a bonus.,entailment,entailment
"I mean, just mostly because my family lives up there and I enjoy being up there.",I enjoy being up there and my family is there. ,entailment,entailment
"Clearly, this rosily checkered past was soon to be replaced, chiefly, it seems, as Judeo-Christian-Islamic-Confucian-Buddhist cultures flourished.",The sketchy past was replaced by many cultures flourishing. ,entailment,entailment
Bin Ladin's impressive array of offices covertly provided financial and other support for terrorist activities.,Bin Laden didn't have any supporters. ,contradiction,contradiction
"Die-cutters are much safer when fully automated, but building computerized loading and unloading features into the machine adds cost.",Putting computerized loading and unloading features in the machine costs several thousand dollars.,neutral,neutral
"(The Amalgamated and ILGWU merged in 1995 to form the Union of Needletrades, Industrial and Textile Employees'or UNITE!)",Amalgamated and ILGWU broke apart in 1995.,contradiction,contradiction
"Without fully realizing it, all of us speak the language of guns and cannons in our everyday conversation, and many words and phrases we spark forth date back to the era of black powder and muzzleloading.",Languages never change and terms from the past do not influence our language today.,contradiction,neutral
"Of course it can't be published because all those things are copyrighted, but my mother made up the story and I thought it was very nice and I still have it, uh, handwritten, uh, in our file here.","Even though my mother made up the story, it can't be published because it's copyrighted but I still have the file.",entailment,entailment
"Maggy, frightened by the booming sounds, whimpers to Deb,  Scary, Mommy.",Maggy was not afraid of the storm and didn't talk to her mom.,contradiction,contradiction
But not all fantasy qualifies as wish fulfillment.,Not all fantasy is for wish making.,entailment,entailment
We shall return to this point later.,We will skip this.  ,contradiction,contradiction
The cockpit voice recorder captured the sounds of the passenger assault muffled by the intervening cockpit door.,The cockpit voice recorder recorded sounds of the assault.,entailment,entailment
This ensures that they will acquire competencies that are adaptive in their culture.,The competencies that are acquired are strict and unadaptable.,contradiction,contradiction
I'll pass that along over here.,I will pass any information along to relay the message as there are still other families looking for their loved one. ,neutral,neutral
"This organization's structure included as its operating arms an intelligence component, a military committee, a financial committee, a political committee, and a committee in charge of media affairs and propaganda.",The organization included many branches to manage its operations.,entailment,entailment
"W follows the (useful) practice of listing a shortened pronunciation key on each right-hand page; L 's failure to do so is a disadvantage, notwithstanding the simplicity of their system, for the user must ferret about to find the description given on page xxii to clarify any question.","W has no pronunciation guide at all, while L provides one on every page.",contradiction,contradiction
Three of the flights had actually taken off within 10 to 15 minutes of their planned departure times.,"There of the flights had taken off, but the others remained.",neutral,neutral
"When he came home, it was harder controlling diabetes.",He has never been diagnosed with diabetes.,contradiction,contradiction
Do you read yet?,Do you watch tv yet?,contradiction,contradiction
The problem was solved simply by using an already standard character that had a similar sound to what the Viet called themselves.,The problem remained intractable because it was impossible to substitute other characters.,contradiction,contradiction
"Essentially, random fluctuation in demand cannot be explained by trends, seasonality, cyclicality, or other factors like advertising and new product introduction.",Retailers would like to be able to explain every fluctuation in demand.,neutral,neutral
Um we always tended to stop somewhere scenic either going to or coming from.,"Since the picturesque locations were the only places worth visiting, they were where we usually went. ",neutral,neutral
"Without a nationally regulated and generously subsidized child-care system, formal child care in the United States is in much shorter supply and considerably more costly for parents than it is in other industrialized nations.",Formal child care in the US is much better than in any other country.,contradiction,contradiction
 From Home Work to Modern Manufacture,Home work is a less viable option.,neutral,neutral
"33 By 1994, the Saudi government would freeze his financial assets and revoke his citizenship.","In 1994, his finances were frozen and citizenship revoked.",entailment,entailment
Each award involves a tuition/fee remission and a $1000 stipend.,Each award involves a moldy piece of hard candy and a cigarette butt. ,contradiction,contradiction
"At 8:28, Boston Center called the Command Center in Herndon to advise that it believed American 11 had been hijacked and was heading toward New York Center's airspace.",Houston Center called the Command center in Herndon.,contradiction,contradiction
"This overall increase is mirrored by growth in the average number of new SKUs introduced per year by apparel business units, which increased from 2,368 in 1988 to 3,688 in 1992.",There were a lot of new SKUs introduced each year for retail stores.,entailment,neutral
The Student American Dental Hygienist's Association Hearty Smiles project at Riley Hospital has been successful and rewarding to the children as well as the hygiene students.,The children did not want to see the hygiene student's leave.,neutral,neutral
"The most recent hijacking that involved U.S. air traffic controllers, FAA management, and military coordination had occurred in 1993.",The most recent hijacking that involved three air-traffic related organizations had been they year before that.,contradiction,entailment
"Notice how, for the biological side of brain development to go forward, appropriate stimulation is essential while formation of neural connections is at its peak.",The biological side of brain development depends on neural connections being formed.,entailment,entailment
Neither do we.,We don't want her to lose her job.,neutral,neutral
"Over the past three decades, external forces impinging on the family have transformed parents' and, therefore, children's lives.",In the last 30 years the parents have been transformed and in turn so have the children.,entailment,entailment
Barn is compounded from the Old English words beren `barley' + ern `house.,Barn is a compound word from Old English words,entailment,entailment
Children are back in their classrooms enjoying the fun of renewing friendships and activities interrupted by summer vacation.,Children hate being back in their classrooms after summer vacation.,contradiction,contradiction
The impact of these projects will be accelerated by an economic development initiative launched this year which will enable new and existing businesses to flourish in this neighborhood.,The impact of the projects will be sped up by an economic development initiative that we launched to help local businesses navigate the tax code.,neutral,neutral
"As a donor to the School of Dentistry, you are making a significant investment in dental education in Indiana.",As a donar to the school of dentistry you are paying to help these dental students eat.,neutral,neutral
We are the only statewide not-for-profit organization whose primary mission is child abuse prevention.,We're an organization who deals with child abuse prevention above all else.,entailment,entailment
"Five-year pledges are essential, and will be recognized at the IDA Annual Session and in school and professional publications.",Five-year pledges don't matter and if you pledge we won't recognize you in any way. ,contradiction,contradiction
"Throughout this book'and especially in Chapter 5, which addresses the development of children with physical and mental disabilities'we will see many more examples of these synergistic eects.",The development of children with disabilities is addressed in chapter 5. ,entailment,entailment
"and so on through the whole megillah : `long, involved story.",The scroll was a long story.,entailment,neutral
"We count on your continuing interest in Sudden Infant Death Syndrome, the SIDS Alliance and our programs.",We count on your donation of more than $300 to help fight SIDS.,neutral,neutral
"Three minutes later, Sweeney was reconnected to the office and began relaying updates to the manager, Michael Woodward.",The manager was given updates by Sweeney.,entailment,neutral
"Perhaps the Proximity people thought that they had got round that little problem by giving the same definition for each of the items in the list; but we know that only very rarely are two synonyms bi-unique (which is another way of saying that if A = B, B does not necessarily always equal A), an ineluctable fact of language.",X and Y are always the exact same thing.,contradiction,neutral
"When parents and children spend most of their time apart, the result is a profound dampening of parents' socializing power.","When parents and kids are together more, the result is parents socialize more.",neutral,contradiction
"Instead, the Department established the Joint Forces Command, located at Norfolk, Virginia, making it responsible for military response to domestic emergencies, both natural and man-made.",The Department established the Joint Forces Command in Virginia.,entailment,entailment
"The reception is scheduled for Thursday, April 29, (6:00-7:30 p.m.) at the Hyatt Regency.",The reception has been cancelled.,contradiction,contradiction
"The idea of a domestic command for homeland defense began to be discussed in 1997, and in 1999 the Joint Chiefs developed a concept for the establishment of a domestic Unified Command.",A domestic command is necessary for safety in this new age of terrorism.,neutral,neutral
There was one particular woman I don't recall her name.,"I remember that woman's name, it was Jane. ",contradiction,neutral
When was the last time you stopped at IUPUI since you graduated?,You haven't graduated from IUPUI yet.,contradiction,contradiction
"Sewing rooms are generally arranged in rows of workers, each seated at a machine doing one operation on a bundle of parts.","Workers are organized in lines within sewing rooms, with a machine seated next to them.",-,entailment
And I said to some of my cousins that I had only the last I had seen was at Grandpop's funeral.,The last time I saw them was at grandfather's funeral.,entailment,entailment
Use of continuous review allows retailers to achieve a higher service level with a lower amount of inventory.,Continued review can only lead to a lower service level with high inventory.,contradiction,contradiction
In just the past few years this program has grown from a few kids and a few extra activities to a team of almost 60 young adults taking on real projects.,"A few kids grew into a team of almost 60 young adults, coming from many different states, and even some internationally. ",neutral,neutral
"Your gift will help us reach our immediate goal of awarding at least one scholarship to a student for the fall semester of 1993, and our long-term goal of awarding several $5,000 scholarships each year.",Your donation will help us reach our goal.,entailment,entailment
Figure 14.5 shows our basic results in regard to average profit margin for different levels of technology adoption.,The average profit margin was determined for each business unit involved.,neutral,neutral
"On behalf of all the men, women and children in Central Indiana who will benefit from your kindness, thank you.",We thank you on behalf of everybody who will be helped.,entailment,entailment
"The manufacturer can then transport the cut parts for assembly to sewing rooms, which may be either local or out of the country.",The producer would then be able to deliver the parts for assembly to sewing rooms both in and out of the country.,entailment,entailment
"He said, But, to take the livestock, I can't, I can't do it alone, at least, four, he said, because, it's difficult with the animals.",The animals were too much for just one person to handle.,entailment,entailment
"Letters in support or condemnation of the QES program (though one may assume they will insist on programme ) should be addressed to Mrs Anne Shelley, Secretary, Queen's English Society, 3 Manor Crescent, Guildford GU2 6NF, England.",The letters about the QES program should be sent to Bob in the United States.,contradiction,contradiction
Private gifts will play a vital role in reaching these goals.,"Being able to achieve these objectives means that donations, volunteer hours and other contributions will be needed.",neutral,neutral
"This was done because of the organization of work in clothing shops; the low capital costs and high proportion of labor costs, especially in women's wear for contract shops; the intense product competition among manufacturers within and among geographic markets; and the diversity of products and changing styles.",This was done because of how workers in clothing shops were organized.,entailment,entailment
"One common way of measuring inventory is to calculate the I/S ratio'that is, the ratio of total finished good inventories to total sales.",The I/S ratio is the ratio of total sales to total good inventories.,contradiction,entailment
The First  Apparel Design and Patterns,The Apparel Design and Patterns before production.,neutral,neutral
The funds go directly to the students' tuition.,The funds go into investments for the school president to get a mansion.,contradiction,contradiction
The measurements must still be transmitted to a CAD system that will automatically alter the pattern to conform to specific body measurements.,Transmitting the data to a CAD system would go against the intentions of the scientists for this experiment. ,contradiction,neutral
"Adjective, being before especially in time or arrangement",A word form at a specific point.,entailment,neutral
Human Resources and Productivity Growth,Productivity is impacted by human resources.,entailment,entailment
"It is a game that is like fishing in a barrel, but more stimulating mentally.",There are better games than fishing.,neutral,neutral
These people are living proof that your investment pays off.,The people are proof that the investment is not worth it.,contradiction,contradiction
One of the flights that received the warning was United 93.,Three flights in total received warnings.,neutral,neutral
"Here is a commonsense style book, useful to those who have the education and common sense to be in doubt about questions of English usage.",A commonsense style book is useful to anyone with education and common sense who doubts something in the English language. ,entailment,entailment
"So they would, they would always come to me, and they told me, Ma'am, sell us milk, sell us yogurt, sell us cheese, or sell us a, a hog, a plump hog, well I had to sell them, and I am going to sell, he'd said, if you sell them to everyone else, sell to us, too.","They wanted the cheese, yogurt and milk because they were starving. ",neutral,neutral
Thousands of Hoosier motorists have been doing just that by purchasing environmental license plates.,This small act has a big impact.,neutral,neutral
"Under  L,  entries include Latin/Greek , defined by Aphra Behn, cited in Dale Spender's book, as `Secret codes supplied through an education traditionally denied women.",Women have always had the same opportunities as men.,contradiction,neutral
Other flight attendants were busy at duties such as getting medical supplies while Ong and Sweeney were reporting the events.,The medical supplies included an automatic defibrillator and oxygen masks..,neutral,neutral
Everyone talks nowadays about making dictionaries user-friendlier.,Dictionaries are only useful for people with plenty of education.,neutral,neutral
"At about 9:00, the senior NMCC operations officer reached out to the FAA operations center for information.",A senior NMCC operations officer never reached out to the FAA.,contradiction,contradiction
Or if they ever will at all?,Will they never?,contradiction,contradiction
"Denim is from de `from' + Nimes , the town.","Denim is from Dimes and neim, the arabic word for town.",contradiction,entailment
"Big Sisters helps fill that void by matching caring, responsible adult volunteers with at-risk girls, ages 8-14.",The Big Sisters have undergone background checks before being paired with the children.,neutral,neutral
Basic items also represent a major percentage of all apparel goods sold.,Prom dresses make up the largest percentage of apparel goods sold.,contradiction,neutral
