premise,hypothesis,gold_label,predicted_label
News argues that most of America's 93 million volunteers aren't doing much good.,News says that a lot of America's volunteers are not helping.,entailment,entailment
Routine screening and intervention will require engendering a sense of role responsibility among emergency department clinicians towards addressing substance abuse.,Routine screening is essential in addressing substance abuse.,neutral,neutral
uh-huh and is it true i mean is it um,It is completely wrong.,contradiction,contradiction
there and they uh they in fact they had this was in uh the late twenties and they in fact used some of the equipment that had been left over and uh he turned them down it it's interesting that that most people don't realize how small the canal is have you ever been there,Most people think the canal is tiny ,contradiction,entailment
"I understand, mademoiselle, I understand all you feel. ","I am aware, madam, of how you feel.",entailment,entailment
so Eric what do you think um,"What do you think, Eric?",entailment,entailment
"No, indeed, said Cynthia. ","Yes, certainly, said Cynthia.",contradiction,contradiction
"Venice and its Repubblica Serena rebounded to turn to the mainland, extending its Veneto territory from Padua across the Po valley as far as Bergamo.",Venice had hopes of expanding its territory.,entailment,neutral
yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we're required to go attend a uh a counseling session,We do not have to go to anymore counseling because they say everything is positive. ,contradiction,contradiction
to do it before you know before it gets hot and one time last year i remember we were planning on doing that and it was eighty degrees even then,"Last year we were planning on doing that, but it was already 80 degrees. ",entailment,entailment
"They were quite, tetanic in character.""",They were very relaxed.,contradiction,contradiction
With a little practice almost anyone can flip off to an interesting rock formation and watch the multi-coloured fish pass in review.,"If you practice just a bit, you'd be able to somersault off a rock.",neutral,contradiction
"Next, you enter the vast and splendid Imperial Hall, with three handsome marble fountains, and a canopied throne from which the sultan would enjoy the music and dancing of his concubines.",The Imperial Hall houses three marble fountains.  ,entailment,entailment
Not yourself.,Someone else,entailment,entailment
The association's mission is to reduce the incidence of fraud and white-collar crime through prevention and education.,The association's purpose is to keep fraud to a minimum.,entailment,entailment
Impossible.,"Impossible, unless circumstances are met.",neutral,entailment
i am surprised though that we do have so many that are in politics down here,I am surprised that not many of them are in politics down here.,contradiction,contradiction
Sorry but that's how it is.,"While one is apologetic about it, there is nothing that can be done.",entailment,contradiction
so uh i hope you like your office,I wish you hate your office so much.,contradiction,contradiction
They're taking us away this morning.,They will be taking is away from here very early.,neutral,entailment
We need your help with another new feature that starts next week.,You are the only person who can help us with the new feature.,neutral,neutral
They consolidated programs to increase efficiency and deploy resources more effectively,Programs to increase efficiency were consolidated.,entailment,entailment
"Strategic parents might spend a large portion of their tax cuts, causing interest rates to rise.",Tax cuts geared to parents will give them greater spending flexibility but will also lead to higher interest rates on loans.,neutral,entailment
The main attraction of Kom Ombo is the vibrant color still found on the columns in the Hypostyle Hall.,"The Hypostyle Hall is the main sight to see at Kom Ombo, featuring striking colors which are preserved with a chemical agent.",neutral,contradiction
But of course the DSM is informed by social values.,Social values were not taken into consideration during the DSM's creation.,contradiction,contradiction
"In a magical space looking out over the sea, the beautifully sculpted columns of the cloister create a perfect framework of grace and delicacy for a moment's meditation.",Weddings are often held in the quiet sanctuary of the cloister.,neutral,neutral
"Additions to the 2002 Request for Proposal (RFP) include questions for applicants on staff diversity, recruitment and retention strategies and training, and the organization's strategic planning.",The request for proposal was in 2002.,entailment,neutral
million in savings this year.,The money saved will be used to grow the company internationally over the next 5 years.,neutral,neutral
oh my  uh-huh uh-huh,"I expected that, to be honest. ",neutral,neutral
I was soon strong enough to move.,I could move soon.,entailment,entailment
"Each caters to a specific crowd, so hunt around until you find the one right for you.",There are marketers who have argued that there needs to be more effort to broaden appeal.,neutral,neutral
"Arawak peoples migrated to various Caribbean islands, arriving in Jamaica by the beginning of the eighth century.","While they visited the islands, they never visited Jamaica.",contradiction,contradiction
And you are wrong in condemning it. ,Everybody does it; it's normal.,neutral,contradiction
The museum is well laid out and the perfect size for relaxing away a couple of hours on a wet day.,The museum has a comprehensive collection for you to view and admission is cheap.,neutral,neutral
"And, could it not result in a decline in Postal Service volumes across--the--board?",Nothing will affect Postal Service volumes across--the--board.,contradiction,contradiction
"The sunlight, piercing through the branches, turned the auburn of her hair to quivering gold. ","When the sunlight pierced through the branches, her hair turned a darker shade of red.",contradiction,contradiction
"The village is Sainte-Marie, named by the explorer when he landed on 4 November 1493, attracted by the waterfalls and river he could see flowing down the green inland mountains.",He was attracted by the waterfalls and river.,entailment,neutral
Auditors are strongly encouraged to comply with the guidance provided by GAGAS.,Auditors should completely ignore any guidance offered by GAGAS.,contradiction,contradiction
Are you sure we should take him down there?' Greuze asked Natalia.,Natalia asked Greuze if it was logical to take him down there.,entailment,contradiction
"The dramatic cliffs of the Serra de Tramuntana mountain range hug the coastline of the entire northwest and north, from Andratx all the way to the Cape of Formentor.",The Serra de Tramuntana mountains are far away from the coast.,contradiction,contradiction
i think that the people that are um have um a lower income which you automatically equate with lower education,I think higher income equals lower education.,contradiction,contradiction
"The chain swung again, hitting her arm and sending the palm knife into the crowd.",The knife injured someone in the crowd.,neutral,neutral
AC Green's pretty good,AC Green is also a solid player.,entailment,entailment
"And it was exactly on such a day, as this carefully selected Wednesday (which blushed from this distinction), that the mini-anti-aggressor was going to make the biggest of impressions.",The mini-anti-aggressor is going to make an impression on Wednesday.,entailment,entailment
or just get out and walk uh or even jog a little although i don't do that regularly but Washington's a great place to do that,"""I regularly go for a walk or a jog at Washington's.""",contradiction,entailment
"Although a mile long, its name is misleading because it is not one street but several different streets.",It is a mile long.,entailment,entailment
Three more days went by in dreary inaction.,Nothing major happened for three days.,entailment,neutral
"Could you please speak to this issue, with regard to the social ramifications of gum chewing in public?",What is your opinion of gum chewing in public?,entailment,entailment
"1 Now that each unit is fully staffed, the LSC Office of Program Performance and its state planning team contain over 260 years of experience in LSC-funded programs.",The LSC has over 1260 years of experience with their staff.,contradiction,contradiction
"The most comfortable way to see these important Hoysala temples is to visit them on either side of an overnight stay at Hassan, 120 km (75 miles) northwest of Mysore.",The best hotels in the region are in Hassan.  ,neutral,neutral
"Not only must capital goods be replaced as they depreciate, but new generations of workers must be comparably",Capital goods are able to last for eternity.,contradiction,contradiction
"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",The Pharaonic Village in Cairo does not sell papyrus.,contradiction,contradiction
they don't call them immigrants anymore that was back during my granddaddy's day,They used to call them immigrants.,entailment,entailment
"But recently, the speculation has subsided.",The speculation was proven false.,neutral,neutral
"In short, we all got tired of clever analyses of what might happen; and throughout economics there was a shift in focus away from theorizing, toward data collection and careful statistical analysis.",We all love data collection and clever analyses of what might happen.,contradiction,contradiction
"Basically, to sell myself.",I will never sell myself.,contradiction,contradiction
"Hence, it appears likely that the proportion of LC to AO mail is less for inbound mail than for outbound.",It looks like the proportion of LC to AO mail is more for inbound mail than for outbound.,contradiction,entailment
"The Balanced Scorecard Institute is a web clearinghouse for managers to exchange information, ideas, and lessons learned in building strategic management systems using the balanced scorecard approach.",Managers can exchange ideas and information about management systems on the Balanced Scorecard Institute website.,entailment,entailment
"To see the desert at its best, go out at dawn and at sunset.",Go at dawn and sunset to see the desert at optimal times.,entailment,entailment
"But the door was locked?"" These exclamations burst from us disjointedly. ","We chaotically exclaimed as we all jumped up in a frenzy, ""But the door wasn't unlocked?""",entailment,entailment
and the nurses aren't no see you have to pay that,You have to pay for that.,entailment,entailment
"As a result of the comments received, AMS changed the proposed rule and it was republished for comment in March 2000.",The rule was republished in December 2002.,contradiction,contradiction
Never know where they won't turn up next. ,Who knows where they will turn up next.,entailment,entailment
It was other-worldly.,It was very good.,-,neutral
"In the case of speech, Fiss appears to believe that the reason the American public is less enlightened than he would wish it to be concerning matters such as feminism, the rights of homosexuals, and regulation of industry is that people are denied access to the opinions and information that would enlighten them.",There is belief held by Fiss that the American public is denied enlightening information.,entailment,entailment
yeah it's just a matter of education i think,I think it just depends on education.,entailment,entailment
"Meanwhile, a site established for the WorldAid '96 Global Expo and Conference on Emergency Relief, which took place last fall, gives you a firsthand glimpse of the frequently crass world of the relief business (note the long list of commercial exhibitors in attendance).",WorldAid had a GLobal expo in 1996 in Beijing.,neutral,neutral
1) FBI intelligence files indicate that Democratic fund-raiser Maria Hsia has been a Chinese agent.,Maria Hsia is a Republican fund raiser that the FBI has information on.,contradiction,contradiction
"You can count on me, if necessary, for one million dollars.",I don't have any money to give you. ,contradiction,contradiction
"Though the two cities remained unlinked by rail, this was about to change quickly.",The railway between the two cities was completed 2 years later.,neutral,contradiction
Expectations that the ANC would oversee land reform--returning land seized during apartheid's forced migrations--and wealth redistribution have not been met.,The ANC would be in charge of land reform.,entailment,entailment
well what is it,Tell me what it is.,entailment,entailment
"In his effort to build nationalism across Turkey in the 1920s, Ataterk instituted a campaign to suppress Kurdish identity that continues today.",His campaign to suppress the identity of the Kurds was successful.,entailment,neutral
"During the half-century of its existence, Israel has absorbed approximately 2.5 million Jewish immigrants, displaced persons, refugees, and survivors of the Nazi Holocaust.",Israel shunned the Jewish people from entering to escape the Nazi Holocaust.,contradiction,contradiction
"While parents may pick up this gay semaphore, kids aren't likely to.",Some kids do understand gay signals.,neutral,contradiction
uh there's uh some very nice places like the bass which is a uh sort of a huge monolithic rocks that you can you can walk up the beach and into these uh enormous caverns that are partially submerged and you can wade in the pools and so forth very popular tourist spot,The rocks have a lot of different species of lichen on them. ,neutral,neutral
"14 Managing for  Federal Managers' Views Show Need for Ensuring Top Leadership Skills (GAO-01-127, Oct. 20, 2000); Management  Using the Results Act and Quality Management to Improve Federal Performance (GAO/T-GGD-99-151, July 29, 1999); and Management  Elements of Successful Improvement Initiatives (GAO/T- GGD-00-26, Oct. 15, 1999).","The document  Management Using the Results Act and Quality Management to Improve Federal Performance was put in place on July 29, 1999.",entailment,contradiction
In our family we have two sons in public life.,Having Two sons in public puts strains on our family's privacy. ,neutral,neutral
You wake up one bright autumn morning and you're halfway to the subway when you decide to walk to work instead.,You decide en route to turn west and walk instead.,neutral,neutral
'Not part of your biography.,"I was told something that was not in my biography, some sort of secret.",neutral,neutral
The truth?,Is that true?,entailment,entailment
H-2A agricultural workers are required to maintain a foreign residence which they have no intention of abandoning.,Permanent foreign residence is required for some types of agricultural work visas.,entailment,neutral
"An important early material, obsidian, was discovered on the island of Milos.",They discovered obsidian in Africa.,contradiction,contradiction
"Their rulers introduced Buddhist and Hindu culture, Brahmin ministers to govern, and an elaborate court ritual.",The rulers came and introduced African culture and Brahmin ministers that governed.,contradiction,contradiction
"'But if White has any designs at all on living, he'll be as far from Little as he can possibly get by now.'",White will be a long ways away from Little right now.,entailment,entailment
A sufficiently clever system of taxes and subsidies can induce people to make accurate reports of their own emotional distress.,People never report on their emotional distress.,contradiction,contradiction
"As shown in Exhibits A-1 and A-2 in Appendix A, in the first phase of technology implementation, an engineering review and assessment of the combustion unit is conducted to determine the preferred compliance alternative.",They wanted to show the progress being made with implementation.,neutral,neutral
although the uh it's uh it we almost one day we painted the house to uh we painted we painted the whole inside and it had all this dark trim we thought uh you know we did the one wall but the other trim i'm trying to think i think i think we left most of it because it gets to be uh they don't do that in the newer houses now we don't the uh mold everything is white in a new house everything is white,It takes a day to paint the house.,neutral,entailment
3) The gap between the productivity of women and the productivity of men.,The numbers are very similar.,neutral,contradiction
All requests to provide live testimony at one of the two public hearings were granted.,Most of the people who requested a live testimony ended up being dissapointed. ,contradiction,contradiction
What changed?,What was different?,entailment,entailment
Transforming Control of Public Health Programs Raises Concerns (,The change of public health programs concerns people.,entailment,entailment
"Our efforts having been in vain, we had abandoned the matter, hoping that it might turn up of itself one day. ",We were no longer trying to solve the problem.,entailment,entailment
"When a GAGAS attestation engagement is the basis for an auditor's subsequent report under the AICPA standards, it would be advantageous to users of the subsequent report for the auditor's report to include the information on compliance with laws and regulations and internal control that is required by GAGAS but not required by AICPA standards.",GAGS and AICPA have the same requirements.,contradiction,contradiction
Voluntariness of risks is evaluated.,The voluntary nature of risks is evaluated.,entailment,entailment
The Kal nodded.,The Kal then nodded its head up and down.,entailment,neutral
"The national mood is stressed on the octagonal spire of the University's Rajabai Clocktower, with 24 figures representing the castes of the Maharashtra State, of which Mumbai is the capital.","There are 24 figures on the Rajabai Clocktower that symbolize the castes of the Maharashtra State, which Mumbai is the capital.",entailment,entailment
They managed to control much of the country for nearly a century before the Muslim leader Saladin (Salah-ad-Din) defeated them in 1187.,"They controlled the entire country, even when Saladin failed to attack them in 1187.",contradiction,contradiction
if the United States had used full conventional power.,If the United States had maximized their potential.,entailment,entailment
California is high,California is all crazy to welcome the new year.,neutral,contradiction
"To keep the colors fresh, he dabbed the carcass with blood from a pail, then grabbed his paintbrushes to capture those lurid reds on canvas.",He used the red dye of beets to paint his canvas.,contradiction,contradiction
He bent down to study the tiny little jeweled gears.,The were no jewels on the gears he examined.,contradiction,contradiction
"Anyway, thank you very much for trying to help us.","We appreciate that you tried hard to help us, even if it didn't work.",neutral,entailment
right well the warmth that developed between them and again it i think was a picture of relationships,They got married after a while.,neutral,neutral
so i'll probably say you know it's like well we've been talking for five six minutes so okay,We've been talking about 5 or 6 minutes ago because I called you.,neutral,entailment
"No, don't answer.",Don't say a word. ,entailment,entailment
well so okay you need to get married and have kids and then when they're big enough you can have them go do the yard  and you can do what you want to do,When your kids grow up you have have them do the yardwork.,entailment,entailment
to do it before you know before it gets hot and one time last year i remember we were planning on doing that and it was eighty degrees even then,"Do it before Summer, then it gets too hot like it did last July when we planned to do it. ",neutral,entailment
AC Green's pretty good,AC Green is also a solid player.,entailment,entailment
It shows clearly enough that my poor old friend had just found out she'd been made a fool of!,I was relieved that my friend was feeling so well and happy.,contradiction,contradiction
oh like if they say i i we just type it in like that,Just type in like they say.,entailment,entailment
"In most methods, we plan for data collection, then we collect the information, then we analyze it, and then we write the report.",Most methods use this technique.,entailment,entailment
"Oh, sorry, wrong church.",The churches looked very similar.,neutral,contradiction
It was always a part of me.,"Even though it is not true anymore, back then it was a portion of me.",-,entailment
yes yeah yeah well it it that's right and it,that's mostly right,neutral,entailment
Windows 95 costs about $90 at my local computer superstore.,Windows 95 is under $100.,entailment,entailment
Your speeches are inflammatory.,Your speeches upset people.,entailment,entailment
4 billion for mercury.,Cleaning up mercury pollution costs billions of dollars every year.,neutral,neutral
"A fine Crusader arch leads down a dimly-lit broad stairway to the dark subterranean Church of the Assumption, a Greek Orthodox church.",The Church of the Assumption stays cool all year because it is underground.,neutral,neutral
"It is not a surprise, either, that Al Pacino chews the scenery in Devil's Advocate . And the idea that if the devil showed up on Earth he'd be running a New York corporate-law firm is also, to say the least, pre-chewed.",Al Pachino is an absolutely horrible person.,neutral,neutral
"To assist programs with implementing these web sites, the Northwest Justice Project and ProBonoNet in New York are hiring two full-time circuit riders to assist grantees with content management and to ensure that each web site supports the entire state justice community.",The Northwest Justice Project and ProBonoNet in New York will hire more people.,entailment,neutral
"Each edition of the DSM is the product of arguments, negotiations, and compromises.",The new addition of NPD in DSM came with a lot of arguments.,neutral,neutral
well this is real interesting that you're as far away as you are because i really thought this was uh uh we're,"you're so nearby, it's surprising.",contradiction,contradiction
"The sculpture on the dome (a personification of Commerce) and the river gods (including Anna Livia, set over the main door) are by Edward Smyth, who was also responsible for the statues on the GPO .",The dome has a sculpture on it.,entailment,entailment
"In the market proper, spices and grain are piled up in multi-colored mountains; merchants chant as they measure out separate lots of five kilos three, three, three, four, four, four, and five, five, five. ","The market sells mostly clothing and household goods, not food items.",contradiction,contradiction
"According to Jane Langmuir, director of the project, water and heat come together and create a totally new appliance.",Jane Langmuir was the one who conceived of this project.,neutral,neutral
"The chain swung again, hitting her arm and sending the palm knife into the crowd.",The chain hit the woman's arm.,entailment,entailment
"Across the river from the city, it has superb views; rooms are very contemporary in design.",It has terrible views of the parking lot.,contradiction,contradiction
no North Carolina State,Yes North Carolina is the state next to Virginia,contradiction,contradiction
"Even though national saving remains relatively low by U.S. historical standards, economic growth in recent years has been high because more and better investments were made.",Americans have increased their savings rate each year.,-,contradiction
i agree with you but did you see the map they drew up on uh on how they were gonna divide up the districts,The district divisions map was incomplete.,neutral,neutral
I did so.,I did what I was told to do.,neutral,neutral
Why bother to sacrifice your lives for dirt farmers and slavers?,No one cares about the dirt farmers and slaves.,neutral,neutral
"After their savage battles, the warriors recuperated through meditation in the peace of a Zen monastery rock garden.","The warriors recuperated, after their savage battles, at a Zen monastery rock garden.",entailment,entailment
"The entire economy received a massive jump-start with the outbreak of the Korean War, with Japan ironically becoming the chief local supplier for an army it had battled so furiously just a few years earlier.",Japan became the local supplier for Korea.,entailment,entailment
Michael B. Wachter of the University of Pennsylvania and his colleagues conclude that there is a wage and fringe benefit premium for the postal bargaining labor force of 29.,Wachter works for University of Chicago.,contradiction,contradiction
it gets it,it gets it.,entailment,entailment
"At 79 m (260 ft) wide and 36 m (118 ft) high, it was built by the Ptolemies during a total reconstruction of the temple in the years 237 105 b.c.",The Ptolomies never built any temples at all.  ,contradiction,contradiction
"They are levied through the power of the Government to compel payment, and the person or entity that pays these fees does not receive anything of value from the Government in exchange.",They are levied through the power of the Government to compel payment.,entailment,contradiction
The important thing is to realize that it's way past time to move it.,"If it is not moved now, it will never be moved.",neutral,neutral
it depends a lot of uh a lot of things were thought that uh as you know the farmers thought okay we got chemicals we're putting chemicals on the field well the ground will naturally filter out the,The farming chemicals are filtered by the ground.,entailment,entailment
"At the time of publication, this document, along with other publications pertaining to information security, was available on NIST's Computer Security Resource Clearinghouse internet page at //csrc.nist.gov/publications.html.",The document and other security information was on NIST's webpage.,entailment,entailment
"More reserved and remote but a better administrator and financier than his uncle, Charles Brooke imposed on his men his own austere, efficient style of life.",Charles Brookes methods were different but superior to those of his uncle.,entailment,entailment
in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh,The town radio station never relied on any national news sources.,contradiction,contradiction
TEST ORGANISMS,Test Rocks,contradiction,contradiction
"The man who had once come up with a has-been corner skit, in which, as Zmuda recalls, forgotten performers would be sent out to flounder in front of an audience ...",A very small number of performers ended up being cheered and celebrated by the audience.,neutral,neutral
The Data Warehousing Institute provides education and training in the data warehousing and business intelligence industry.,Business intelligence industry is a new and promising field of study.,neutral,neutral
uh-huh so do you have to get a shade tolerant grass is that what you're,Do you have to get shade tolerant grass?,entailment,entailment
They managed to control much of the country for nearly a century before the Muslim leader Saladin (Salah-ad-Din) defeated them in 1187.,Saladin was a ferocious leader. ,neutral,neutral
Hall said that Britain has enjoyed a half-century of pre-eminence in this field of endeavor and that this could now be destroyed.,Hall has extensively researched the role of other countries engaged in the same endeavor as the one Britain now leads.,neutral,neutral
i don't understand that i thought that he was always a good player,I always considered him to be a terrible player. ,contradiction,contradiction
"A lot of people are going to look at it and say, 'Well, I took the exam the way it is and that's what I had to do it,' said Mr. Curnin. ",The exam is not that hard and a lot of people are going to talk about it.,neutral,entailment
Meet the Press host Tim Russert took his Christmas vacation five days early by letting Rep.,"Tim Russert, host of Meet The Press took his Christmas vacation five days sooner.",entailment,entailment
"There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in foreign currency).",You can pay using the US dollar when buying goods from the duty-free shops.,contradiction,entailment
Cabourg is the most stately of the old Channel resorts.,Cabourg is the least stately of the old Channel resorts.,contradiction,contradiction
"But the state does arguably have an interest, compatible with the First Amendment, in stipulating the way those media are used, and Fiss' discussion of those issues is the least aggravating in his book.",Fiss' discusses the state's interest in media use in his book. ,entailment,entailment
"No, indeed, said Cynthia. ","Yes, certainly, said Cynthia.",contradiction,contradiction
"We should seek to achieve the most good or benefit, with the least harm and destruction of things that we value, he argued.",He argued that we should recklessly destroy all the things that we care the most about.,contradiction,contradiction
"Poor Dave, she said.",She was happy for Dave.,contradiction,contradiction
oh yeah IBM uh i mean uh a lot of people use human factors folks but IBM is what i'm looking at right now,I'm looking at IBM right now but I've looked at tons of other things.,neutral,entailment
She buried his remains to spare her mother the gruesome sight.,The remains would have caused grief to her mother.,neutral,entailment
Analytical Perspectives.,Perspectives can be analytical,entailment,entailment
REESTIMATE -Refers to estimates of the subsidy costs performed subsequent to their initial estimates made at the time of a loan's disbursement.,Reestimate is a term that deals with estimates.,entailment,neutral
"The village is Sainte-Marie, named by the explorer when he landed on 4 November 1493, attracted by the waterfalls and river he could see flowing down the green inland mountains.","The village is named after the explorer that landed on November 4, 1493.",entailment,contradiction
The inspired centuries-old design sense of the Italians has turned their country into a delightful emporium of style and elegance for the foreign visitor.,Foreign tourists find that Italy has style and elegance.,entailment,neutral
They make a pretty pair working together.,They work well together.,entailment,entailment
"The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.",Taking the subway is a good way to experience big city life. ,contradiction,contradiction
"In addition, we supported the creation of a 250-page Poverty Law Manual that introduces advocates to the fundamentals of poverty law.",A poverty law fundamentals manual was created.,entailment,entailment
"No, I exclaimed, astonished. ","""Okay,"" I agreed breezily. ",contradiction,contradiction
"You will also see  hippie-made  jewellery on sale, especially at the market in Punta Arab?­.",The Punta Arab market sells hippie-made hoop earrings. ,neutral,neutral
"Favored by the Ancient Egyptians as a source of turquoise, the Sinai was, until recently, famed for only one event but certainly an important one.",The Sinai was a source of turquoise for Ancient Egyptians. ,entailment,entailment
"Using a threestep development planning process, managers assess their current capabilities, determine their specific development needs, and build and execute a development plan.","The threestep planning process examines years of development, even though the number of steps is low.",neutral,contradiction
Weicker has yet to declare his intentions.,Weicker's intentions have not been declared yet.,entailment,entailment
"In an atmosphere of economic crisis stagnant productivity, bank closures, and rising unemployment conservatives wanted somebody tougher, more dynamic than eternally compromising old-style politicians.",There was no such thing as a bank.,contradiction,contradiction
"As Jon looked at him, Barnam puffed out his chest.",Barnam wanted to impress Jon.,neutral,neutral
It is constrained by laws and regulations formulated by Congress over more than two centuries.,There are no laws constraining it.,contradiction,contradiction
"In addition, the senior executives at these organizations demonstrated their sustained commitment to financerelated improvement initiatives by using key business/line managers to drive improvement efforts, attending key meetings, ensuring that the necessary resources are made available, and creating a system of rewards and incentives to recognize those who support improvement initiatives.",Senior executives showed their commitment to improvements by using key managers.,entailment,entailment
"On your right is the entrance to the 16th-century Sandal Bedesten, with lovely brick vaults supported on massive stone pillars.",You can see the entrance of the Sandal Bedesten on your right.,entailment,neutral
okay okay that's it that GTE had purchased Tigon and yeah that's what we have,GTE spent a lot of money to acquire Tigon.,neutral,neutral
i don't know what kind of a summer we're expecting this year i imagine it's going to be hot again,"I work in the weather station, so I know all about the predictions for the weather this summer.",contradiction,neutral
"Bars with views and live music include Sky Lounge in the Sheraton Hotel and Towers, Tsim Sha Tsui; and Cyrano in the Island Shangri-La in Pacific Place.","It is not far to go to find good drink, gorgeous views, and live music. ",neutral,neutral
oh  that's accommodating,That fits in my schedule.,neutral,entailment
yeah i think they get bogged down in a lot of small issues that people you know special interest groups can blow up,They have approximately 300 small issues to go through.,neutral,neutral
These provisions may have to be reexamined as well.,The last provisions were initially examined incorrectly. ,neutral,neutral
and these poor guys out there uh trying to uphold the law um i don't know i kind of think they should bring back capital punishment,It might be beneficial to start using capital punishment again.,entailment,entailment
That's an opportunity that very few people have had.,Not everybody get's that opportunity. ,entailment,neutral
And environmentalists have on occasion attacked religion for promoting human domination over the natural world., And environmentalists have on occasion attacked religion.,entailment,entailment
sometimes well there's definitely a lot more hitting,The man says that he's not sure if there's more hitting.,contradiction,contradiction
"Strange as it may seem to the typical household, capital gains on its existing assets do not contribute to saving as measured in NIPA.",The group responsible for administering pensions does not consider gains on property as part of savings.,entailment,neutral
Trying Your Luck,Think carefully and calculate your way to a certain victory.,neutral,contradiction
"They said that the current system reflects that diversity, with agencies developing new participation processes and information management systems as needed for their individual programs and communities.",They said that the current system reflects that diversity,entailment,neutral
"But when he was persuaded by divers means to help us, he gave up after one week, declaring it beyond his powers.","The person accepted defeat after seven days, as it was too difficult.",entailment,entailment
"Tommy Thompson of Wisconsin and Mayor Rudolph Giuliani of New York, the conservative vanguard on the issue, show no inclination to exploit research that says, in effect, Why care about day-care quality?",Thompson and Giuliani don't want to care about day cares.,neutral,entailment
A re-created street of colonial Macau is lined with traditional Chinese shops.,"You'll find plenty of authentic, old-world restaurants on that street.",neutral,neutral
"Later, Tom testified against John so as to avoid the electric chair.",Tom was willing to speak against the other man to avoid his own execution.,entailment,neutral
The bridge would work for a very short time but the stream isn't a clear defense.,The bridge would work temporarily.,entailment,entailment
"Under the leadership of Henry the Navigator, caravels set out from the westernmost point of the Algarve, in southern Portugal, in search of foreign lands, fame, and wealth.",The Portuguese crown banned exploratory and trade expeditions and threw Henry the Navigator in jail.,contradiction,contradiction
The Kal nodded.,The Kal then nodded its head up and down.,entailment,neutral
"A succession of discoveries has taught us about archeabacteria, very ancient and primitive single-cell organisms that live in the places you'd least expect anything to call home.","Several discoveries have taught us about archaebacteria, a very ancient and primitive single-cell organism that lives in unexpected places. ",entailment,entailment
"In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support.",Turkey was part of the Ottoman Empire until 1923.,entailment,neutral
uh well i figured if i had it done in the garage at the Toyota dealer i would be looking at probably three or four hundred dollars,The dealer would have charged a few hundred dollars.,entailment,entailment
defiantly if you live in an apartment right,Unless you live in a house.,neutral,contradiction
well his knees were bothering him yeah,He was in tip-top condition.,contradiction,contradiction
Any subsequent alterations to the data can be readily detected.,Special permissions are required to alter the data.,neutral,contradiction
We always knew it was an outside chance.,We felt it was definitely going to happen.,contradiction,contradiction
Workers are also represented in civil rights and retaliation claims.,Some workers are represented in civil rights and retaliation claims.,entailment,entailment
"Today, the island is little more than a forgotten backwater with few ferry connections to other islands, but its strong natural defenses gave it advantages in ancient times.",The backwater has multiple ferry connections to other islands.,contradiction,contradiction
Adrin nodded.,Adrin stood silent and unmoving.,contradiction,contradiction
"Despite huge projected increases in food production, per capita food consumption in South Asia, the Middle East, and the less-developed nations of Africa will scarcely improve or will actually decline below present inadequate levels.",African nations do not need food to survive. ,contradiction,contradiction
"If not the most beautiful, the chateau is certainly the most formidable in the Loire Valley, a real defensive fortress, its black ramparts still forbidding despite having had their towers decapitated on the orders of Henri III.","If it isn't the most beautiful chateau you have seen, it is certainly the most formidable.",entailment,entailment
"The National Association of State Information Resource Executives (NASIRE) represents state chief information officers (CIO) and information resource executives who share a mission to shape national information technology policy through collaborative partnerships, information sharing, and knowledge transfer.",The national association of state information represents state chief information.,entailment,contradiction
did oh they're they are everywhere they,They spread out.,neutral,entailment
Ricky Martin was filming his triumphant return to the gay porn industry.,Ricky Martin is a gay porn star.,entailment,neutral
"3 It should be noted that the toxicity (LC50) of a sample observed in a range-finding test may be significantly different from the toxicity observed in the follow-up chronic definitive test  (1) the definitive test is longer; and (2) the test may be performed with a sample collected at a different time, and possibly differing significantly in the level of toxicity.",The toxicity of a sample in the range-finding test might be very different from the toxicity in the follow-up test because solutions change depending on temperature.,neutral,entailment
"For a review of the literature, see William G. Gale and John Sabelhaus, Perspectives on the Household Saving Rate, Brookings Papers on Economic Activity (1:1999), pp. 181-224.",No literature was used in this instance.,contradiction,contradiction
Working for Philip Morris isn't like defending an indigent murderer in a death penalty appeal.,Working for Philip Morris is a legal challenge.,neutral,neutral
what was the problem,i know exactly what the problem is.,contradiction,contradiction
"Also, considerable sums are spent by the Postal Service analyzing the costs associated with worksharing, and mailers/competitors incur considerable expense litigating their positions on worksharing before the Postal Rate Commission.",The Postal Service spends considerable sums on cost analysis.,entailment,entailment
The anthropologist Napoleon Chagnon has shown that Yanomamo men who have killed other men have more wives and more offspring than average guys.,Yanomamo men who kill other men have better chances at getting more wives.,entailment,neutral
The company later told us that it had discontinued the program because of its adverse effect on employee morale.,At a later date the company informed us they canceled the program.,entailment,entailment
His failure will endure.,The man will be remembered for failing.,entailment,entailment
